origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,82.44,0
Algeria,4,204.9925,0
Angola,1,175.13,0
Argentina,18,160.83722222222224,2
Australia,223,110.99291479820627,70
Austria,80,179.301,9
Azerbaijan,4,126.24249999999999,0
Bahrain,2,134.415,0
Bangladesh,6,231.8166666666667,0
Belarus,2,79.47999999999999,0
Belgium,24,163.15208333333334,5
Bolivia,1,268.98,0
Brazil,139,176.42108695652175,12
Bulgaria,12,211.2275,1
Cambodia,2,233.12,0
Canada,477,141.3854926624738,68
Chile,42,181.63738095238094,4
China,90,202.41899999999998,10
Colombia,12,164.04999999999998,0
Costa Rica,1,70.4,0
Croatia,6,184.865,1
Cyprus,1,241.57,0
Czech Republic,16,177.86375,2
Denmark,14,184.56071428571428,2
Dominican Republic,3,246.63,0
Egypt,24,229.63291666666666,0
Estonia,3,79.78999999999999,2
Ethiopia,15,227.18066666666667,0
Fiji,1,270.7,0
Finland,26,173.6073076923077,3
France,83,166.78795180722892,12
Georgia,4,112.8625,2
Germany,141,171.39085106382979,21
Greece,25,148.8844,3
Guatemala,5,89.394,0
Hungary,58,177.89293103448279,10
Iceland,12,222.235,0
India,67,190.0883582089552,5
Indonesia,15,191.23733333333334,1
Ireland,259,192.30019305019306,18
Israel,27,208.2911111111111,3
Italy,5,122.16400000000002,0
Japan,60,186.08433333333332,8
Jordan,5,240.644,0
Kazakhstan,2,15.92,1
Kenya,2,233.345,0
Kingdom of the Netherlands,76,199.2546052631579,6
Kuwait,1,237.61,0
Kyrgyzstan,1,270.93,0
Latvia,22,162.56,4
Libyan Arab Jamahiriya,2,192.92000000000002,0
Lithuania,9,235.89777777777778,2
Luxembourg,10,179.504,1
Malaysia,29,192.67620689655172,3
Malta,146,195.75732876712328,7
Mauritius,1,1.29,1
Mexico,124,170.3950806451613,9
Morocco,12,220.4025,0
New Zealand,89,95.13584269662921,7
Norway,36,170.9588888888889,3
Oman,7,252.41857142857143,0
Pakistan,4,213.3825,0
Panama,17,209.9158823529412,1
Papua New Guinea,1,0.0,1
Philippines,33,167.10787878787878,4
Poland,73,197.93342465753423,3
Portugal,42,164.48166666666668,8
Qatar,30,225.2,2
Republic of Korea,65,190.1946153846154,7
Republic of Moldova,2,242.255,0
Romania,5,186.404,1
Russian Federation,28,199.21964285714287,2
Rwanda,1,246.63,0
San Marino,5,185.864,1
Saudi Arabia,10,211.43099999999998,0
Serbia,5,207.38600000000002,0
Singapore,40,235.14124999999999,0
Slovakia,2,170.655,0
Slovenia,1,8.23,1
Solomon Islands,1,216.29,0
South Africa,1,63.89,0
Spain,130,168.99784615384615,15
Sri Lanka,1,220.38,0
Sweden,59,172.77949152542374,7
Switzerland,54,149.60111111111112,17
Taiwan,32,204.710625,1
Thailand,31,193.64806451612904,1
Trinidad and Tobago,2,226.585,0
Tunisia,7,226.21428571428572,0
Turkey,135,203.8860447761194,5
Turkmenistan,1,237.03,0
Ukraine,2,220.0,0
United Arab Emirates,71,231.54929577464787,2
United Kingdom,357,181.34176470588235,28
United States,6311,140.67693136788714,642
Uzbekistan,6,237.345,0
Viet Nam,18,240.35500000000002,2
